"Plot Title: A06 PRCP"
"#","Date Time, GMT-06:00","Event, Event (LGR S/N: 20551794, SEN S/N: 20551794, LBL: PRCP)","Coupler Attached (LGR S/N: 20551794)","Host Connected (LGR S/N: 20551794)","Coupler Detached (LGR S/N: 20551794)","Bad Battery (LGR S/N: 20551794)","End Of File (LGR S/N: 20551794)"
69,06/21/19 17:27:01,52.00,,,,,,Version Number: 1.17
70,06/21/19 17:28:06,53.00,,,,,,Manufacturer: Onset Computer Corp.
71,06/21/19 17:33:06,54.00,,,,,,Device Memory: 65536
72,06/21/19 21:11:33,55.00,,,,,,Header Created: 09/04/13 09:40:47 AM GMT-06:00
73,06/21/19 21:19:47,56.00,,,,,,Deployment Info
74,06/22/19 01:12:20,57.00,,,,,,Full Series Name: Coupler Detached
75,06/30/19 10:35:51,58.00,,,,,,Launch Name: A06 PRCP
76,07/20/19 05:04:46,59.00,,,,,,Deployment Number: 1
77,07/25/19 03:29:50,60.00,,,,,,Launch Time: 03/26/19 08:12:14 AM GMT-06:00
78,07/25/19 03:36:06,61.00,,,,,,Launch GMT Offset: -6 Hr 0 Min
79,07/25/19 03:44:42,62.00,,,,,,Battery at Launch: 3.17 Volts
80,07/25/19 11:11:16,63.00,,,,,,Series Statistics
81,07/27/19 19:57:08,64.00,,,,,,Samples: 3
82,07/28/19 09:15:48,65.00,,,,,,First Sample Time: 05/21/19 12:17:33 PM GMT-06:00
83,09/08/19 10:17:44,66.00,,,,,,Last Sample Time: 05/21/19 12:20:05 PM GMT-06:00
84,09/08/19 10:21:35,67.00,,,,,,Event Type: Bad Battery
85,09/08/19 16:51:16,68.00,,,,,,Devices
86,11/20/19 16:08:45,69.00,,,,,,Device Info
87,11/21/19 01:43:45,70.00,,,,,,Product: HOBO UA-003-64 Pendant Temp/Event
88,11/21/19 01:45:59,71.00,,,,,,Serial Number: 20551794
89,11/21/19 02:16:03,72.00,,,,,,Version Number: 1.17
90,11/23/19 09:05:20,73.00,,,,,,Manufacturer: Onset Computer Corp.
91,11/25/19 19:49:53,74.00,,,,,,Device Memory: 65536
92,11/26/19 15:36:17,75.00,,,,,,Header Created: 09/04/13 09:40:47 AM GMT-06:00
93,11/26/19 15:45:39,76.00,,,,,,Deployment Info
94,11/26/19 16:02:27,77.00,,,,,,Full Series Name: Bad Battery
95,11/27/19 11:23:47,78.00,,,,,,Launch Name: A06 PRCP
96,11/27/19 14:39:17,79.00,,,,,,Deployment Number: 1
97,11/27/19 15:50:59,80.00,,,,,,Launch Time: 03/26/19 08:12:14 AM GMT-06:00
98,11/27/19 22:09:42,81.00,,,,,,Launch GMT Offset: -6 Hr 0 Min
99,11/29/19 07:29:39,82.00,,,,,,Battery at Launch: 3.17 Volts
100,11/29/19 07:40:48,83.00,,,,,,Series Statistics
101,11/29/19 07:49:20,84.00,,,,,,Samples: 1
102,11/29/19 09:18:22,85.00,,,,,,First Sample Time: 11/30/19 02:00:00 PM GMT-06:00
103,11/29/19 11:33:10,86.00,,,,,,Last Sample Time: 11/30/19 02:00:00 PM GMT-06:00
104,11/29/19 12:26:09,87.00,,,,,,Event Type: End Of File
105,11/30/19 14:00:00,,,,,Logged,,Devices
106,12/04/19 21:47:36,88.00,,,,,,Device Info
107,12/04/19 23:14:15,89.00,,,,,,Product: HOBO UA-003-64 Pendant Temp/Event
108,12/05/19 01:19:00,90.00,,,,,,Serial Number: 20551794
109,12/05/19 08:35:58,91.00,,,,,,Version Number: 1.17
110,12/05/19 15:46:46,92.00,,,,,,Manufacturer: Onset Computer Corp.
111,12/10/19 11:14:03,93.00,,,,,Logged,Device Memory: 65536
,,,,,,,,Header Created: 09/04/13 09:40:47 AM GMT-06:00
,,,,,,,,Deployment Info
,,,,,,,,Full Series Name: End Of File
,,,,,,,,Launch Name: A06 PRCP
,,,,,,,,Deployment Number: 1
,,,,,,,,Launch Time: 03/26/19 08:12:14 AM GMT-06:00
,,,,,,,,Launch GMT Offset: -6 Hr 0 Min
,,,,,,,,Battery at Launch: 3.17 Volts
,,,,,,,,Series Statistics
,,,,,,,,Samples: 1
,,,,,,,,First Sample Time: 12/10/19 11:14:03 AM GMT-06:00
,,,,,,,,Last Sample Time: 12/10/19 11:14:03 AM GMT-06:00
